name,business_id,reviews/total,location/latitude,location/longitude,location/address,stars,categories/0,categories/1,categories/2,categories/3,categories/4,categories/5
Sur La Table,yDnRf8m_YI4AXHVGH6-fuQ,13,33.622874,-111.9293766,"7122 E Greenway Pkwy
Ste 100
Scottsdale, AZ 85254",4,Shopping,Food,Home & Garden,Specialty Food,Kitchen & Bath,Personal Shopping
Foxfire Apartments,hBgIhxFFRsdjtQk3QhsoZQ,3,33.422453,-111.959114,"1701 E 8th Street Ofc
Tempe, AZ 85281",2.5,Home Services,Real Estate,Apartments,,,
Double Headers,JMjjXpNR4EAooX6jtwNEaw,3,33.444799,-112.066662,"Chase Field
401 E Jefferson St
Phoenix, AZ 85004",3,Burgers,Hot Dogs,Restaurants,,,
Cost Plus World Market,F8sD8-VRr5RLCuxOY7SVaA,6,33.439469,-112.426633,"885 S Cotton Ln
Goodyear, AZ 85338",4.5,Food,"Beer, Wine & Spirits",Shopping,Home & Garden,Furniture Stores,
Flora Unique Florist,23sB_DG-bQO3luNlZ-vi4g,14,33.4947792,-111.9175074,"4032 N Miller Rd
Ste 106
Scottsdale, AZ 85251",5,Flowers & Gifts,Shopping,Event Planning & Services,Florists,,
Travel Thru Time,pKp50rYh0iWZYKiWmWmLow,3,33.4802766,-112.0908411,"1343 W Thomas Rd
Phoenix, AZ 85013",3.5,Shopping,Antiques,,,,
Jewelry Nail & Spa,ykBWmSL1yDrAob2a20b2DQ,5,33.6094169,-112.0653491,"13448 N 7th Street
Phoenix, AZ 85022",3,Beauty & Spas,Nail Salons,,,,
Lucille's Smokehouse Bar-B-Que,ke3RFq3mHEAoJE_kkRNhiQ,177,33.4366655,-111.9403254,"Tempe Marketplace
2030 E Rio Salado Pkwy
Tempe, AZ 85281",3,Southern,Barbeque,Restaurants,,,
International House of Pancakes,SNpVV5viJ2aPylP6bkAx8Q,16,33.414249,-111.935878,"225 E Apache Blvd
Tempe, AZ 85281",3,American (Traditional),Restaurants,,,,
Oscar Taylor's,3m7khDnqH9QOg8gu3Ymumw,6,33.5080057,-112.0319425,"2375 E Camelback Road
Phoenix, AZ 85016",3,Burgers,American (New),Restaurants,,,
West Elm,LzSF8rvlsxqF-0qcHU7ikA,9,33.6071829,-111.9403254,"Scottsdale Quarter
15279 N Scottsdale Rd
Scottsdale, AZ 85254",3,Shopping,Home Decor,Home & Garden,Furniture Stores,,
El Pollo Loco,7Y1lfzFkwBRoMZKIMMeZMw,6,33.7119937,-112.2747334,"10000 West Happy Valley Rd
Peoria, AZ 85383",3.5,Mexican,Restaurants,,,,
Saint 22,bNmsfLXaKKcDigEMidEcGg,4,33.4804588,-112.0917465,"1507 W Thomas Rd
Phoenix, AZ 85007",4.5,Fashion,Flowers & Gifts,Shopping,Knitting Supplies,Accessories,
Laser For Less,J-c25QK8xBqv1P-huUkoTQ,9,33.3203096,-111.8904421,"2855 W Ray Rd
Ste 7
Chandler, AZ 85224",5,Beauty & Spas,Hair Removal,Laser Hair Removal,,,
O'connor's Pub,x9XX-dcVZfpU_J5UWuWzeg,12,33.567221,-112.115581,"2601 W Dunlap Ave
Phoenix, AZ 85021",4,Pubs,Bars,Nightlife,,,
Paradise Hawaiian BBQ,i_H_yKtISROjQ4eruSwyPw,49,33.4247212,-111.9351556,"580 S  College Ave
Ste 103
Tempe, AZ 85281",3.5,Korean,Hawaiian,Restaurants,,,
Narcisse Champagne and Tea Lounge,W0eocyGliMbg8NScqERaiA,101,33.6071829,-111.9403254,"Scottsdale Quarter
15257 N Scottsdale Rd
Scottsdale, AZ 85254",3.5,Champagne Bars,Bars,Nightlife,Lounges,,
Surprise Tennis and Racquet Complex,cW3shiA8fDGRpsAUDsL1Xg,4,33.6306358,-112.3487017,"14469 W Paradise Ln
Surprise, AZ 85378",4.5,Active Life,Tennis,,,,
Blimpie Subs & Salads,NtizlEdtnJX0tteMdZ-6tw,3,33.6106566,-112.1505433,"4267 W Thunderbird Road
Phoenix, AZ 85053",3,Restaurants,,,,,
The Alternative,ff7VlCqw4ByzAvR2-q9mVg,3,33.418869,-111.940359,"1004 S Mill Ave
Tempe, AZ 85281",3,Local Services,Printing Services,,,,
T & M Pizza Italian Restaurant,MfCS8VeJzf9QbxNImekuMA,4,32.974883,-111.524173,"360 S Arizona Blvd
Coolidge, AZ 85128",3,Restaurants,Pizza,Italian,,,
Smiley Nails,XD7hxupuU3kkid0tqsD1nw,6,33.3488957,-111.9766015,"5057 E Elliot Rd
Phoenix, AZ 85044",3.5,Beauty & Spas,Nail Salons,,,,
The Coffee Bean & Tea Leaf,LNUx60j6DQAxJuikUiZNvw,4,33.5033716,-111.9256326,"4513 N Scottsdale Rd
Scottsdale, AZ 85251",3.5,Food,Coffee & Tea,,,,
The Arrogant Butcher,Xq9tkiHhyN_aBFswFeGLvA,307,33.4471735,-112.073781,"2 E Jefferson St
Ste 150
Phoenix, AZ 85004",4,American (New),Restaurants,,,,
Jimbo's Good Times Grill,CQHKoO91ivQJ9hFDCFdSSw,5,33.4157354,-111.6995595,"6102 E Main St
Mesa, AZ 85205",3.5,Nightlife,Bars,American (Traditional),Sports Bars,Restaurants,
Creative Resources,BD9zrMRx_gH05OhJ-NcjMw,7,33.731903,-112.238411,"27295 N 83rd Dr
Peoria, AZ 85383",5,Marketing,Professional Services,,,,
Apollo's Lounge,lLI8ObL8aCVbkrrtAW0EHw,25,33.5217334,-112.0648454,"5749 N 7th St
Phoenix, AZ 85014",3.5,Bars,Gay Bars,Nightlife,,,
Scottsdale Arts Festival,8c2ZwD42Q30eUjxG2SgYNg,3,33.519588,-111.909524,"Scottsdale Civic Center Mall
7380 E 2nd St
Scottsdale, AZ 85250",4.5,Arts & Entertainment,Art Galleries,Shopping,,,
Food City,VkdjWDnu5EDqT8PIhb4y3A,5,33.4001063,-111.8570085,"822 S Alma School Rd
Mesa, AZ 85210",4,Food,Grocery,,,,
Rightsource-Humana Pharmacy,Q6f_7tOLjCONnrJ8ytNlEA,3,33.437036,-112.151949,"4302 W Buckeye Rd Ste 109
Phoenix, AZ 85043",1,,,,,,
Petit Fromage,AgvP554bfq5kwp5TghvYmw,15,33.516464,-112.0823359,"5345 N 7th Ave
Phoenix, AZ 85013",4.5,Food,Cheese Shops,Specialty Food,,,
Jersey Mike's Subs,ZlvVCqFKTMK4rBkTQzVBpA,15,33.465504,-112.08241,"1515 N 7th  Ave
Ste 140
Phoenix, AZ 85003",3.5,Sandwiches,Restaurants,,,,
Steinmart,h45pT80y2uztKxv1vMu5AQ,3,33.3634762,-111.9112224,"6426 S Mcclintock Dr
Tempe, AZ 85283",3.5,Department Stores,Fashion,Shopping,,,
Divas and Goddesses,jXufSteaJ8sL77DmajwVdA,3,33.5410674,-112.1849382,"5849 W. Palmaire Ave.
Glendale, AZ 85301",4,Lingerie,Shopping,Fashion,,,
Arriba Mexican Grill,nfyqtEoufkhjv97IueK7Ow,55,33.298078,-111.7459158,"2855 S Market St
Gilbert, AZ 85295",2.5,Mexican,Restaurants,,,,
Discount Tire Company,mFqpvUsEveJ1L5XPbcxaGg,3,33.3333494,-111.9108427,"8835 S McClintock Drive
Tempe, AZ 85284",4.5,Tires,Automotive,,,,
One Stop Appliance Repair,mKtHJOe1rtf-zGewKpAqrw,5,33.3777487,-112.0742698,"27 W Baseline Rd
Phoenix, AZ 85041",1,Local Services,Appliances & Repair,,,,
Subway,cBzZpDqBaTdugB4JvfEhXA,3,33.567216,-112.065588,"8930 N 7th St
Phoenix, AZ 85020",4,Fast Food,Sandwiches,Restaurants,,,
Tempe Mission Palms Hotel,I5ypI3aYbbTL8dAjnI3PDw,49,33.425824,-111.938976,"60 E 5th St
Ste 101
Tempe, AZ 85281",4,Hotels & Travel,Event Planning & Services,Hotels,,,
Culver's,zwHM6hz8swKIG-4-BSKMPA,11,33.5998438,-111.9862419,"4506 E Cactus Rd
Phoenix, AZ 85032",3.5,Food,Burgers,Sandwiches,Ice Cream & Frozen Yogurt,Restaurants,
Cindy's Makin Faces,h-o-fNBO2ojQQvsOG7UbDQ,3,33.578957,-111.924071,"10235 N Scottsdale Rd
Paradise Valley, AZ 85253",3.5,Skin Care,Hair Removal,Makeup Artists,Beauty & Spas,,
Lena's Flowers & Gifts,MDzYAjCXVbv1Dna7DSfWbw,3,33.359898,-111.790191,"522 N Gilbert Rd
Gilbert, AZ 85234",3.5,Flowers & Gifts,Shopping,Event Planning & Services,Florists,Caterers,
Señor Taco,wWvInCI38F80lqLvnW26hg,7,33.2454981779,-111.842032671,"4200 S Arizona Ave
Chandler, AZ 85248",4,Food,Mexican,Restaurants,,,
Bahama Breeze,PEezgevlEHjujMN1qTQH1g,3,33.320322,-111.9662565,"7200 W Ray Rd
Chandler, AZ 85226",3.5,Cajun/Creole,American (New),Restaurants,,,
